"Date","Price","Open","High","Low","Change %"
"Nov 27, 2021","0.000274","0.000274","0.000274","0.000274","0.00"
"Nov 25, 2021","0.000295","0.000572","0.000592","0.000286","-48.32"
"Nov 24, 2021","0.000571","0.000575","0.000577","0.000287","0.00"
"Nov 23, 2021","0.000575","0.000562","0.000578","0.000283","0.00"
"Nov 22, 2021","0.000563","0.000587","0.000592","0.000557","0.00"
"Nov 21, 2021","0.000587","0.000597","0.000600","0.000585","0.00"
"Nov 20, 2021","0.000597","0.000581","0.000598","0.000575","0.00"
"Nov 19, 2021","0.000580","0.000569","0.000583","0.000556","0.00"
"Nov 18, 2021","0.000569","0.000603","0.000609","0.000565","0.00"
"Nov 17, 2021","0.000603","0.000601","0.000608","0.000585","0.00"
"Nov 16, 2021","0.000601","0.000636","0.000636","0.000586","0.00"
"Nov 15, 2021","0.000635","0.000655","0.000663","0.000635","0.00"
"Nov 14, 2021","0.000654","0.000644","0.000655","0.000636","0.00"
"Nov 13, 2021","0.000644","0.000641","0.000649","0.000634","0.00"
"Nov 12, 2021","0.000642","0.000648","0.000654","0.000623","0.00"
"Nov 11, 2021","0.000648","0.000649","0.000656","0.000641","0.00"
"Nov 10, 2021","0.000650","0.000669","0.000690","0.000629","0.00"
"Nov 09, 2021","0.000670","0.000675","0.000685","0.000663","0.00"
"Nov 08, 2021","0.000675","0.000633","0.000678","0.000633","0.00"
"Nov 07, 2021","0.000633","0.000615","0.000633","0.000613","0.00"
"Nov 06, 2021","0.000615","0.000610","0.000615","0.000601","0.00"
"Nov 05, 2021","0.000610","0.000614","0.000625","0.000607","0.00"
"Nov 04, 2021","0.000614","0.000629","0.000631","0.000608","0.00"
"Nov 03, 2021","0.000629","0.000632","0.000635","0.000609","0.00"
"Nov 02, 2021","0.000632","0.000609","0.000642","0.000606","0.00"
"Nov 01, 2021","0.000609","0.000613","0.000624","0.000596","0.00"
"Oct 31, 2021","0.000613","0.000618","0.000624","0.000600","0.00"
"Oct 30, 2021","0.000619","0.000622","0.000623","0.000609","0.00"
"Oct 29, 2021","0.000622","0.000606","0.000629","0.000603","0.00"
"Oct 28, 2021","0.000606","0.000584","0.000621","0.000581","0.00"
"","","","","",""
"","Highest:0.000690","Lowest:0.000274","Difference:0.000416","Average:0.000595","Change %:-53.046458"
